Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoints,AwayPoints,HomeLast5Points,AwayLast5Points,HomeLast5HomePoints,AwayLast5AwayPoints,HomeWinRateLastHome,AwayWinRateLastAway,HomeAvgGoalsScoredLast5,HomeAvgGoalsConcededLast5,AwayAvgGoalsScoredLast5,AwayAvgGoalsConcededLast5,HomeAvgShotsLast5,AwayAvgShotsLast5,HomeAvgShotsOnTargetLast5,AwayAvgShotsOnTargetLast5,HomeAvgShotsConcededLast5,AwayAvgShotsConcededLast5,HomeXG,AwayXG,HomeAvgXGLast5,HomeAvgXGConcededLast5,AwayAvgXGLast5,AwayAvgXGConcededLast5,HomeSquadValueEur,AwaySquadValueEur,HomeTransfersIn,HomeTransfersOut,HomeNetTransferSpendEur,AwayTransfersIn,AwayTransfersOut,AwayNetTransferSpendEur,HomeTablePosition,AwayTablePosition,TablePointsGap,DayOfWeek,IsWeekend,KickoffHour,HomePlayedEuropeMidweek,AwayPlayedEuropeMidweek,HomeSquadAvgAge,AwaySquadAvgAge,HomeManagerTenureDays,HomeNewManagerBoost,AwayManagerTenureDays,AwayNewManagerBoost,HomeDaysRest,AwayDaysRest,H2HHomeTeamWinRate,H2HAwayTeamWinRate,H2HDrawRate,H2HMatchesPlayed,HomeAvgSecondHalfGoalsScoredLast5,HomeAvgSecondHalfGoalsConcededLast5,AwayAvgSecondHalfGoalsScoredLast5,AwayAvgSecondHalfGoalsConcededLast5,HomeElo,AwayElo,EloDifference,HomeTeamOverallElo,AwayTeamOverallElo,OverallEloDifference
E0,2014-08-16,Arsenal,Crystal Palace,2.0,1.0,H,1.0,1.0,D,14.0,4.0,6.0,2.0,13.0,19.0,9.0,3.0,2.0,2.0,0.0,1.0,3,0,0,0,0,0,0.5,0.5,,,,,,,,,,,1.55411,0.158151,,,,,171750000.0,100250000.0,6,1,66730000.0,1,1,-1800000.0,1,2,0,5,1,15.0,0,0,25.933880903490756,27.767818349552122,728,0,259,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
E0,2014-08-16,Leicester,Everton,2.0,2.0,D,1.0,2.0,A,11.0,13.0,3.0,3.0,16.0,10.0,3.0,6.0,1.0,1.0,0.0,0.0,1,1,0,0,0,0,0.5,0.5,,,,,,,,,,,1.2783,0.613273,,,,,45900000.0,115400000.0,0,0,0.0,4,2,40160000.0,2,3,0,5,1,15.0,0,0,27.493308787084896,26.457547016068578,730,0,364,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
E0,2014-08-16,Man United,Swansea,1.0,2.0,A,0.0,1.0,A,14.0,5.0,5.0,4.0,14.0,20.0,4.0,0.0,2.0,4.0,0.0,0.0,0,3,0,0,0,0,0.5,0.5,,,,,,,,,,,1.16635,0.278076,,,,,313800000.0,45990000.0,8,3,72250000.0,3,2,-2550000.0,4,5,0,5,1,15.0,0,0,26.708501026694044,26.196098562628336,112,0,189,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
E0,2014-08-16,QPR,Hull,0.0,1.0,A,0.0,0.0,D,19.0,11.0,6.0,4.0,10.0,10.0,8.0,9.0,1.0,2.0,0.0,0.0,0,3,0,0,0,0,0.5,0.5,,,,,,,,,,,1.90067,1.11757,,,,,27100000.0,48900000.0,0,1,0.0,2,1,6750000.0,5,6,0,5,1,15.0,0,0,30.48368697239334,27.139402235911476,627,0,363,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
E0,2014-08-16,Stoke,Aston Villa,0.0,1.0,A,0.0,0.0,D,12.0,7.0,2.0,2.0,14.0,9.0,2.0,8.0,0.0,3.0,0.0,0.0,0,3,0,0,0,0,0.5,0.5,,,,,,,,,,,0.423368,0.909774,,,,,82500000.0,76800000.0,0,0,0.0,0,1,0.0,6,7,0,5,1,15.0,0,0,28.733849312904756,26.293700735245416,364,0,728,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
E0,2014-08-16,West Brom,Sunderland,2.0,2.0,D,1.0,1.0,D,10.0,7.0,5.0,2.0,18.0,9.0,6.0,3.0,3.0,1.0,0.0,0.0,1,1,0,0,0,0,0.5,0.5,,,,,,,,,,,1.68343,0.991901,,,,,126250000.0,85600000.0,0,2,0.0,1,3,1900000.0,7,8,0,5,1,15.0,0,0,27.72347707049966,27.758156513803332,208,0,301,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
E0,2014-08-16,West Ham,Tottenham,0.0,1.0,A,0.0,0.0,D,18.0,10.0,4.0,4.0,12.0,10.0,8.0,5.0,1.0,0.0,1.0,1.0,0,3,0,0,0,0,0.5,0.5,,,,,,,,,,,1.8531,1.01706,,,,,83350000.0,186700000.0,4,0,27250000.0,2,2,7550000.0,9,10,0,5,1,15.0,0,0,27.72105512557258,26.932759688406506,728,0,237,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
E0,2014-08-17,Liverpool,Southampton,2.0,1.0,H,1.0,0.0,H,12.0,12.0,5.0,6.0,8.0,11.0,2.0,6.0,1.0,2.0,0.0,0.0,3,0,0,0,0,0,0.5,0.5,,,,,,,,,,,1.33192,1.55248,,,,,135100000.0,135000000.0,9,4,24210000.0,3,4,-100030000.0,10,11,0,6,1,15.0,0,0,26.400239561943874,26.556737809304543,729,0,573,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
E0,2014-08-17,Newcastle,Man City,0.0,2.0,A,0.0,1.0,A,12.0,13.0,0.0,5.0,8.0,11.0,3.0,3.0,1.0,5.0,0.0,0.0,0,3,0,0,0,0,0.5,0.5,,,,,,,,,,,0.965583,1.48053,,,,,95750000.0,186650000.0,4,2,11900000.0,3,1,17500000.0,11,12,0,6,1,15.0,0,0,25.7180665558489,26.900028183758103,148,0,363,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
E0,2014-08-18,Burnley,Chelsea,1.0,3.0,A,1.0,3.0,A,9.0,11.0,2.0,3.0,6.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,0,3,0,0,0,0,0.5,0.5,,,,,,,,,,,0.371141,2.12996,,,,,60300000.0,156650000.0,0,0,0.0,9,7,-34760000.0,12,13,0,0,0,15.0,0,0,27.075316247116387,26.240184182689315,730,0,365,0,7,7,0.5,0.5,0.0,0,,,,,1500.0,1500.0,0.0,1500.0,1500.0,0.0
